make,model,market_regions,powertrain,first_year,body_style,origin_country,age_2025,battery_capacity_kWh
Jaguar,I-Pace,Global (EU/UK/US),BEV,2018,SUV,UK,7,35.6
Lucid,Air,US/EU/ME,BEV,2021,Sedan,US,4,36.4
Lucid,Gravity,US (from 2025),BEV,2025,SUV,US,0,25.5
Rivian,R1T,US/CA,BEV,2021,Pickup,US,4,49.1
Rivian,R1S,US/CA,BEV,2022,SUV,US,3,43.3
BYD,Dolphin,Global (EU/ME/LA/CN),BEV,2021,Hatchback,CN,4,48.2
BYD,Seal,Global (EU/ME/CN),BEV,2022,Sedan,CN,3,46.8
BYD,Han,CN/ME/EU (limited),BEV,2020,Sedan,CN,5,37.9
BYD,Tang,CN/EU (limited),BEV,2018,SUV,CN,7,47.7
NIO,ET5,CN/EU (select),BEV,2022,Sedan,CN,3,22.7
NIO,ET7,CN/EU (select),BEV,2021,Sedan,CN,4,25.9
NIO,ES6,CN/EU (select),BEV,2019,SUV,CN,6,21.4
XPeng,P7,CN/EU (select),BEV,2019,Sedan,CN,6,29.8
XPeng,G9,CN/EU (select),BEV,2022,SUV,CN,3,31.7
Smart,#1,EU/UK/CN,BEV,2022,SUV,CN/DE,3,28.1
Audi,e-tron GT,Global (EU/UK/US),BEV,2021,Sedan,Germany,4,44.9
Audi,Q8 e-tron,Global (EU/UK/US),BEV,2023,SUV,Germany,2,30.7
BMW,i7,Global (EU/UK/US),BEV,2022,Sedan,Germany,3,28.4
BMW,iX1,EU/UK,BEV,2022,SUV,Germany,3,36.3
BMW,iX2,EU/UK,BEV,2024,SUV,Germany,1,24.2
BMW,iX3,EU/UK/China,BEV,2020,SUV,Germany,5,44.1
Mercedes-Benz,EQE SUV,Global (EU/UK/US),BEV,2023,SUV,Germany,2,22.2
Mercedes-Benz,EQS SUV,Global (EU/UK/US),BEV,2022,SUV,Germany,3,49.6
Volkswagen,ID.5,EU/UK,BEV,2021,SUV,Germany,4,43.2
Volkswagen,ID.7,EU/UK,BEV,2023,Sedan,Germany,2,26.0
Škoda,Enyaq,EU/UK,BEV,2020,SUV,Czech Republic,5,20.2
Porsche,Macan Electric,EU/UK,BEV,2024,SUV,Germany,1,44.5
Rolls-Royce,Spectre,Global (EU/UK/US),BEV,2023,Coupe,United Kingdom,2,41.2
Renault,Scenic E-Tech,EU/UK,BEV,2024,Crossover,France,1,41.9
Renault,5 E-Tech,EU/UK,BEV,2024,Hatchback,France,1,43.1
Peugeot,e-3008,EU/UK,BEV,2024,SUV,France,1,22.2
Peugeot,e-308,EU/UK,BEV,2023,Hatchback,France,2,30.8
Opel,Astra Electric,EU/UK,BEV,2023,Hatchback,Germany,2,23.5
Opel,Astra Electric Sports Tourer,EU/UK,BEV,2023,Wagon,Germany,2,45.9
Opel,Mokka-e,EU/UK,BEV,2020,SUV,Germany,5,38.7
Citroën,ë-C4 X,EU/UK,BEV,2022,Sedan,France,3,29.9
Citroën,ë-C3,EU/UK,BEV,2024,Hatchback,France,1,21.9
Fiat,600e,EU/UK,BEV,2023,SUV,Italy,2,29.3
Abarth,500e,EU/UK,BEV,2023,Hatchback,Italy,2,29.8
DS Automobiles,DS 3 E-Tense,EU/UK,BEV,2019,SUV,France,6,41.9
Jeep,Avenger Electric,EU/UK,BEV,2023,SUV,Italy,2,39.1
Nissan,Ariya,Global (EU/UK/JP/US),BEV,2022,SUV,Japan,3,46.6
Lexus,RZ,Global (EU/UK/JP/US),BEV,2022,SUV,Japan,3,34.2
Lexus,UX 300e,EU/UK/JP,BEV,2020,SUV,Japan,5,23.6
Honda,Prologue,US,BEV,2024,SUV,Japan,1,41.4
Kia,Niro EV,Global (EU/UK/US),BEV,2018,SUV,South Korea,7,42.8
Volvo,EX40,Global (EU/UK/US),BEV,2020,SUV,Sweden,5,36.8
Volvo,EC40,Global (EU/UK/US),BEV,2021,SUV Coupe,Sweden,4,43.1
Polestar,4,Global (EU/UK/US/CN),BEV,2023,SUV Coupe,Sweden,2,34.8
Lotus,Eletre,EU/UK/China,BEV,2023,SUV,United Kingdom,2,35.7
Lotus,Emeya,EU/UK/China,BEV,2024,Sedan,United Kingdom,1,32.8
Maserati,GranTurismo Folgore,EU/UK,BEV,2023,Coupe,Italy,2,20.8
Maserati,Grecale Folgore,EU/UK,BEV,2024,SUV,Italy,1,23.2
Alfa Romeo,Junior Elettrica,EU/UK,BEV,2024,SUV,Italy,1,20.9
MINI,Cooper Electric (J01),EU/UK,BEV,2024,Hatchback,United Kingdom,1,39.1
MINI,Aceman,EU/UK/China,BEV,2024,SUV,United Kingdom,1,29.4
Smart,#3,EU/UK/China,BEV,2023,SUV Coupe,Germany,2,35.3
BYD,Atto 3 (Yuan Plus),Global (EU/UK/CN/ME),BEV,2021,SUV,China,4,47.2
BYD,Seal U,EU/UK/CN,BEV,2023,SUV,China,2,27.5
BYD,Seagull (Dolphin Mini),CN/LatAm/ME,BEV,2023,Hatchback,China,2,32.3
MG,MG4 Electric,EU/UK,BEV,2022,Hatchback,China,3,42.7
MG,MG5 Electric,EU/UK,BEV,2021,Wagon,China,4,26.9
MG,ZS EV,EU/UK,BEV,2019,SUV,China,6,22.3
NIO,ES8,CN/EU,BEV,2018,SUV,China,7,28.7
XPeng,G6,CN/EU,BEV,2023,SUV,China,2,24.8
Zeekr,001,CN/EU,BEV,2021,Shooting Brake,China,4,47.9
Zeekr,007,CN,BEV,2023,Sedan,China,2,44.2
Zeekr,X,CN/EU,BEV,2023,SUV,China,2,39.0
Zeekr,009,CN,BEV,2022,MPV,China,3,46.1
Ora,03 Funky Cat,EU/UK,BEV,2021,Hatchback,China,4,44.1
Ora,07 (Lightning Cat),CN/EU,BEV,2022,Sedan,China,3,25.6
Chery,Omoda E5,EU/UK/ME,BEV,2024,SUV,China,1,46.8
Leapmotor,T03,EU/CN,BEV,2020,Hatchback,China,5,36.2
VinFast,VF8,Global (VN/US/EU),BEV,2022,SUV,Vietnam,3,44.2
VinFast,VF9,Global (VN/US/EU),BEV,2023,SUV,Vietnam,2,46.9
Chevrolet,Blazer EV,US,BEV,2023,SUV,United States,2,29.5
Chevrolet,Equinox EV,US,BEV,2024,SUV,United States,1,23.3
Chevrolet,Silverado EV,US,BEV,2023,Pickup,United States,2,26.8
GMC,Hummer EV,US,BEV,2021,Pickup/SUV,United States,4,32.8
Cadillac,Lyriq,US/China,BEV,2022,SUV,United States,3,44.5
Cadillac,Escalade IQ,US,BEV,2024,SUV,United States,1,45.8
